evo-1,evo-2,evo-3,evo-4,evo-5,evo-6,evo-7,evo-8,evo-9,evo-10,evo-11,evo-12,evo-13,evo-14,evo-15,evo-16,evo-17,evo-18,evo-19,evo-20,evo-21,evo-22,evo-23,evo-24,evo-25,evo-26,evo-27
h-search,h-search,mov-head,h-search,nop-C,h-search,h-search,h-search,if-resources,push,h-search,get-head,h-search,h-search,h-search,swap-stk,pop,inc,if-label,h-search,tumble,nand,sense-resource0,h-search,h-search,h-search,h-search
nop-A,jmp-head,nop-C,nop-C,if-label,nop-C,nop-C,nop-C,IO,nand,nop-C,nop-C,sub,nop-C,swap-stk,nop-C,h-search,h-search,donate-res-to-deme,phero-off,nop-C,nop-C,nop-C,nop-C,nop-C,nop-C,get-head
mov-head,nop-A,nop-A,move,mov-head,nop-A,explore,mov-head,nop-A,nop-A,nop-A,nop-A,add,tumble,nop-A,if-pheromone,nop-C,nop-A,if-pheromone,if-pheromone,move,nop-A,dec,inc,exploit,exploit,tumble
sense-pheromone-faced,sense-faced-resource0,sense-pheromone,rotate-l,nop-C,if-not-pheromone,nop-C,mov-head,if-not-pheromone,mov-head,mov-head,pop,get-head,sense-pheromone,sense-resource0,if-n-equ,nop-A,mov-head,if-less,explore,mov-head,swap,mov-head,mov-head,mov-head,mov-head,donate-res-to-deme
nop-C,sense-resource0,nop-C,nop-C,set-flow,nop-C,nop-C,sense-resource0,nop-C,nop-C,nop-C,nop-C,set-flow,shift-l,nop-C,nop-C,mov-head,nop-C,sense-pheromone-faced,nop-A,nop-C,nop-C,nop-C,shift-r,phero-off,get-head,nop-C
sub,inc,nop-C,nop-C,move,nop-C,nop-C,nop-C,nop-C,swap,if-pheromone,if-resources,nop-C,sub,nop-C,nop-C,nop-C,sense-resource0,phero-off,if-n-equ,nop-C,swap,move,sense-pheromone-faced,if-label,nop-C,nop-C
if-not-pheromone,if-resources,h-search,donate-res-to-deme,push,h-search,if-resources,nop-C,pop,h-search,swap-stk,inc,if-resources,shift-r,if-resources,get-head,sub,sense-pheromone-faced,rotate-r,nop-C,inc,if-resources,if-resources,pop,if-resources,if-resources,explore
shift-r,inc,swap-stk,nand,nop-C,IO,if-n-equ,if-resources,inc,shift-l,inc,nop-C,inc,if-less,sense-pheromone-faced,move,if-resources,inc,sub,sense-resource0,nop-C,inc,inc,inc,sense-resource0,inc,if-pheromone
dec,mov-head,nop-C,nop-C,add,if-not-pheromone,pop,inc,nop-C,nop-C,exploit,if-label,nop-C,nop-C,donate-res-to-deme,nop-C,inc,nop-C,exploit,nop-A,nop-C,if-less,nop-C,if-less,inc,nop-C,sense-resource0
tumble,nop-C,nop-C,rotate-r,nop-C,swap-stk,nop-C,sense-faced-resource0,nop-C,nop-C,IO,nop-C,if-pheromone,nop-C,nop-C,add,nop-C,inc,nop-C,inc,nop-C,nop-C,nop-C,nop-C,inc,nop-C,exploit
sense-pheromone,rotate-l,add,set-flow,sense-pheromone,get-head,sense-pheromone,exploit,nop-C,nop-A,add,move,nop-C,h-search,phero-off,nop-C,nop-C,move,push,exploit,nop-C,push,nand,nop-C,phero-on,rotate-l,donate-res-to-deme
IO,nop-C,IO,dec,nop-C,nop-C,nop-C,mov-head,nop-C,phero-on,dec,if-not-pheromone,add,swap,swap,nop-C,nop-C,get-head,shift-l,if-resources,move,nop-B,phero-on,donate-res-to-deme,donate-res-to-deme,sense-pheromone,nop-C
inc,nop-C,phero-off,get-head,nop-C,nop-C,push,nop-B,nop-C,sub,dec,sense-pheromone,nop-C,nop-C,nop-C,nop-C,phero-on,set-flow,explore,sense-pheromone,IO,get-head,nop-B,sense-resource0,nop-C,explore,if-resources
if-resources,nop-C,nop-C,nop-C,nop-C,nop-C,nop-C,nop-C,nop-C,nop-C,add,nop-C,sub,nop-C,nop-C,if-resources,sense-pheromone,nop-C,nop-C,nop-A,nop-A,sense-pheromone,nop-C,exploit,push,nop-C,nop-C
shift-r,move,nop-C,jmp-head,nop-C,get-head,inc,nop-C,nop-C,nop-C,nop-C,nop-C,nop-C,move,set-flow,nop-C,swap,explore,IO,add,nop-C,h-search,nop-C,if-not-pheromone,h-search,donate-res-to-deme,rotate-l
swap-stk,swap,dec,nop-C,if-resources,sense-pheromone,explore,nop-C,nop-C,swap,nop-C,tumble,h-search,if-resources,nop-C,nop-C,nop-C,nop-C,sense-resource0,nop-C,nop-C,rotate-r,nop-C,swap-stk,if-resources,push,nop-C
nop-C,nop-C,swap-stk,phero-on,sense-resource0,nop-C,inc,phero-on,sense-pheromone,swap,swap-stk,set-flow,nop-C,if-label,if-resources,move,swap,phero-on,h-search,nop-C,move,push,sense-faced-resource0,nop-C,nop-C,mov-head,nop-C
swap,nop-C,sub,shift-r,mov-head,nop-C,shift-r,exploit,nop-C,get-head,nop-C,nop-C,add,donate-res-to-deme,inc,nop-C,nop-C,if-resources,nop-C,dec,if-resources,nop-C,nop-A,nop-C,if-label,get-head,nop-C
exploit,nop-C,nop-C,sub,nop-C,nop-B,nop-C,phero-on,sense-pheromone,tumble,nop-C,nop-C,nop-C,IO,h-search,nop-C,nop-C,nop-C,swap,rotate-l,IO,sub,nop-C,nop-C,nop-C,nop-C,if-less
nop-C,nop-C,sense-pheromone-faced,nop-C,nop-C,nand,nop-B,nop-C,nop-C,tumble,nop-C,add,dec,nop-C,nop-C,nop-C,nop-C,nop-C,set-flow,shift-l,nop-C,inc,nop-C,nop-C,nop-C,swap,nop-C
nop-C,if-not-pheromone,nop-C,if-less,nop-C,nop-C,nop-C,h-search,nop-C,dec,IO,phero-on,inc,mov-head,shift-l,nop-C,nop-C,nop-C,swap,donate-res-to-deme,dec,nop-C,nop-C,nop-C,nop-C,nop-C,sense-resource0
sense-pheromone-faced,shift-r,swap-stk,if-label,if-label,nop-C,nop-C,if-n-equ,if-n-equ,get-head,sense-faced-resource0,if-resources,nand,nop-C,pop,rotate-r,pop,sense-pheromone,nop-A,swap-stk,inc,h-search,push,swap-stk,if-pheromone,sense-resource0,if-pheromone
if-resources,nop-C,if-n-equ,nop-C,inc,swap-stk,nop-C,nop-C,nop-C,inc,nop-C,inc,if-resources,if-label,nop-C,if-n-equ,if-not-pheromone,if-resources,swap-stk,add,if-label,phero-on,sense-pheromone,phero-on,nop-C,if-resources,add
explore,if-resources,nop-C,if-not-pheromone,nop-C,if-resources,if-resources,sub,if-resources,nop-C,explore,nand,nop-C,if-resources,sense-pheromone-faced,if-resources,exploit,inc,IO,if-resources,inc,nop-C,if-resources,add,if-resources,inc,if-resources
inc,if-label,phero-on,if-resources,sense-pheromone-faced,move,nop-C,pop,shift-r,shift-l,inc,h-search,nop-C,inc,if-less,pop,if-resources,nop-C,nop-B,nop-C,nop-A,nop-C,donate-res-to-deme,jmp-head,inc,nop-C,inc
if-n-equ,get-head,move,if-n-equ,phero-off,swap,sense-pheromone-faced,if-resources,phero-on,nop-C,nop-C,jmp-head,nop-B,nop-C,shift-l,phero-on,inc,nop-C,inc,rotate-l,nop-C,sense-resource0,nop-C,if-not-pheromone,nop-C,if-resources,sense-resource0
exploit,nop-C,nop-C,sub,nop-C,nop-C,sense-pheromone-faced,if-less,nop-C,if-not-pheromone,nand,nop-C,nop-C,nop-C,nop-C,nop-C,nop-C,if-n-equ,nop-C,if-label,nop-C,nand,explore,nop-C,nop-C,nop-C,nop-C
h-search,nop-C,nop-C,phero-off,IO,nop-A,nop-C,shift-l,pop,nop-C,nop-C,tumble,nop-C,nop-C,get-head,nop-C,push,nop-C,nop-C,add,nop-C,rotate-r,sense-resource0,nop-C,nop-C,nop-C,nop-C
nop-C,add,get-head,nop-C,explore,nop-A,nop-C,nand,nop-C,if-pheromone,swap-stk,nop-C,sub,add,phero-on,nop-C,nop-C,nop-C,inc,move,nop-C,sense-pheromone,inc,nop-C,push,if-resources,nop-C
IO,nop-C,exploit,swap-stk,nop-C,get-head,nop-C,nop-C,dec,if-label,nop-C,nop-C,nop-C,nop-C,if-not-pheromone,nop-C,if-resources,nop-C,if-pheromone,inc,sense-pheromone-faced,if-label,dec,nop-C,nop-C,donate-res-to-deme,nop-C
IO,nop-C,pop,nop-C,rotate-l,nop-C,if-less,pop,nop-C,if-less,nop-C,if-resources,swap-stk,pop,if-label,shift-l,push,nop-C,if-n-equ,if-label,nop-C,nop-C,set-flow,if-resources,nop-C,nop-C,nop-C
push,get-head,nop-C,nand,nop-C,nop-C,swap-stk,nop-B,explore,nop-C,h-search,nop-C,nop-C,if-n-equ,nop-C,set-flow,rotate-l,phero-off,exploit,dec,nop-C,nop-C,nop-C,nop-C,nop-C,sense-pheromone,move
nop-C,shift-r,nop-C,shift-r,nop-C,nop-C,swap-stk,nop-C,nop-C,nop-C,phero-on,nop-C,exploit,shift-r,if-pheromone,nop-C,explore,nop-C,rotate-r,if-n-equ,if-n-equ,add,nop-C,nop-C,nop-C,nop-C,nop-C
explore,sense-pheromone-faced,nop-C,nop-C,nop-A,nop-C,dec,nop-C,sense-faced-resource0,phero-off,nop-C,pop,phero-off,if-pheromone,if-n-equ,exploit,add,jmp-head,nop-C,phero-on,if-n-equ,swap-stk,nop-C,if-resources,shift-r,IO,push
move,swap-stk,nop-C,nop-C,jmp-head,nop-C,shift-l,inc,sub,h-search,nop-C,nop-C,inc,nop-C,nop-C,nop-C,inc,nop-C,sub,nop-C,set-flow,donate-res-to-deme,jmp-head,nand,nop-C,nop-C,shift-r
push,set-flow,nop-C,phero-on,nop-C,sense-pheromone-faced,nop-C,nop-C,swap-stk,nop-C,nop-C,nop-C,nand,nop-C,nop-C,nop-C,nop-C,nop-C,jmp-head,h-search,nop-C,if-pheromone,nop-C,nop-C,nop-C,h-search,nop-C
add,rotate-r,explore,nop-C,nop-C,nop-C,nop-C,IO,nop-C,nop-B,sense-pheromone,nop-C,nop-C,nop-C,nop-C,nop-C,nop-B,nop-C,nop-C,nop-C,nop-C,explore,if-pheromone,nop-C,donate-res-to-deme,if-not-pheromone,nop-C
nop-C,nop-C,if-pheromone,sense-resource0,add,nop-C,if-n-equ,nop-C,nop-C,get-head,nop-C,sense-pheromone-faced,nop-C,h-search,nop-C,nop-C,nop-C,if-resources,nop-C,pop,donate-res-to-deme,phero-on,nop-A,if-pheromone,sense-pheromone,nop-A,nop-C
rotate-r,nop-C,nand,if-label,get-head,get-head,if-resources,nop-C,if-resources,inc,donate-res-to-deme,mov-head,if-n-equ,if-not-pheromone,sense-faced-resource0,swap-stk,h-search,add,shift-l,nop-C,if-resources,mov-head,nop-C,if-n-equ,dec,if-resources,get-head
sense-resource0,if-resources,if-resources,if-resources,inc,explore,inc,if-label,rotate-l,nop-C,if-resources,nop-C,IO,if-resources,inc,if-resources,nop-C,nop-C,exploit,nop-C,sub,nop-C,exploit,inc,sense-pheromone,if-resources,nop-C
inc,inc,shift-r,move,nop-C,pop,nop-C,nop-C,nop-C,nop-C,inc,get-head,sense-pheromone,dec,rotate-r,nop-B,inc,nop-C,if-resources,nop-C,nop-C,pop,inc,swap-stk,inc,nop-C,shift-r
sense-pheromone,dec,push,nop-C,nop-C,push,tumble,if-resources,donate-res-to-deme,nop-C,set-flow,nop-C,nop-C,explore,if-resources,nop-C,if-resources,get-head,inc,tumble,inc,nop-A,nop-C,exploit,nop-C,nop-B,nop-B
nop-C,if-n-equ,nop-A,nop-C,nop-C,nop-C,nop-C,sub,if-n-equ,nop-C,nop-C,if-less,rotate-l,shift-l,inc,get-head,inc,nop-C,if-not-pheromone,nop-C,exploit,rotate-l,nop-C,nop-C,nop-C,nop-C,if-not-pheromone
swap-stk,swap,nop-C,nop-C,nand,nop-C,nop-C,nop-C,nop-C,nop-C,swap-stk,nop-C,nop-C,nop-C,nop-C,push,exploit,exploit,if-less,nop-C,nop-C,rotate-r,nop-C,nop-C,sub,nop-C,add
rotate-r,nop-B,nop-C,nop-C,nand,nop-C,nop-C,nop-C,nop-C,nop-C,nop-C,phero-on,sense-pheromone-faced,shift-r,sense-pheromone-faced,dec,nop-C,nop-C,nop-A,sub,nop-C,if-label,if-pheromone,nop-C,set-flow,shift-l,IO
IO,nop-C,nop-C,sense-pheromone-faced,nop-C,nop-C,swap,nop-C,nop-C,nop-C,nop-C,nop-C,nop-C,nop-C,rotate-r,if-resources,explore,if-pheromone,exploit,inc,nop-C,sense-pheromone-faced,nop-C,donate-res-to-deme,h-search,rotate-r,move
move,nop-C,nop-C,nand,nop-C,nop-C,sense-faced-resource0,IO,jmp-head,nop-C,rotate-l,nop-C,swap-stk,set-flow,h-search,sense-faced-resource0,nop-C,nop-C,if-less,nop-C,swap-stk,if-resources,nop-C,sub,if-not-pheromone,if-not-pheromone,nop-C
if-label,nop-C,nop-C,phero-off,nop-C,h-search,shift-l,rotate-l,nop-C,nop-C,if-pheromone,nop-C,nop-C,nop-C,if-label,push,nop-C,get-head,h-search,nop-C,nop-C,inc,phero-off,if-not-pheromone,inc,if-pheromone,nop-C
nop-C,donate-res-to-deme,nop-C,sense-resource0,nop-C,nop-C,phero-off,nop-C,nop-C,nop-C,nop-C,nop-C,nop-C,nand,nop-C,nop-C,if-pheromone,phero-on,if-resources,nop-C,nop-C,if-not-pheromone,nop-C,nop-C,swap-stk,sense-faced-resource0,if-resources
jmp-head,nop-C,nop-C,sub,explore,nop-C,nop-C,nop-C,nop-C,nop-C,rotate-l,if-resources,if-resources,dec,nop-C,shift-r,nop-C,nop-C,nop-C,if-resources,nop-C,rotate-l,dec,exploit,nop-C,nop-C,nop-C
shift-r,pop,nop-C,push,nop-C,sense-faced-resource0,nop-C,tumble,if-pheromone,nop-C,dec,swap,inc,nop-C,nop-C,nop-C,move,get-head,nop-C,nop-C,if-n-equ,nop-C,nop-C,nop-C,nop-C,if-resources,shift-r
pop,nop-C,phero-on,set-flow,add,rotate-r,if-label,nop-C,nop-C,exploit,nop-C,phero-off,nop-C,move,nop-C,if-less,rotate-l,if-resources,h-search,nop-C,if-resources,nop-C,nop-C,sense-pheromone,if-not-pheromone,nop-C,if-less
nop-C,nop-C,nop-C,nop-C,inc,if-resources,nop-C,swap-stk,explore,sense-resource0,phero-on,donate-res-to-deme,add,jmp-head,set-flow,pop,nop-C,phero-off,swap-stk,sub,inc,shift-l,nop-B,if-n-equ,sense-pheromone,set-flow,pop
